version,file,class,mode,threshold,dice,hd95
finetuned_epoch7,22_Heart_2_10.npz,0,point,0.2,0.29494232475546595,57.38466694161429
finetuned_epoch7,22_Heart_2_10.npz,0,point,0.3,0.38058163498882397,50.08991914547278
finetuned_epoch7,22_Heart_2_10.npz,0,point,0.5,0.6085682900014333,20.8806130178211
finetuned_epoch7,22_Heart_2_10.npz,0,box,0.2,0.9156923076866728,4.123105625617661
finetuned_epoch7,22_Heart_2_10.npz,0,box,0.3,0.9031855090511981,5.0
finetuned_epoch7,22_Heart_2_10.npz,0,box,0.5,0.8921506062482952,5.0
finetuned_epoch7,22_Heart_2_10.npz,0,both,0.2,0.9245742092401182,3.605551275463989
finetuned_epoch7,22_Heart_2_10.npz,0,both,0.3,0.9209074187558498,4.0
finetuned_epoch7,22_Heart_2_10.npz,0,both,0.5,0.9174999999942657,4.0
finetuned_epoch7,22_Heart_2_10.npz,1,point,0.2,0.251351855304398,47.853944456021594
finetuned_epoch7,22_Heart_2_10.npz,1,point,0.3,0.32965956404523716,41.012193308819754
finetuned_epoch7,22_Heart_2_10.npz,1,point,0.5,0.5050348566982764,14.7648230602334
finetuned_epoch7,22_Heart_2_10.npz,1,box,0.2,0.48762886597686794,14.7648230602334
finetuned_epoch7,22_Heart_2_10.npz,1,box,0.3,0.4425162689780775,14.7648230602334
finetuned_epoch7,22_Heart_2_10.npz,1,box,0.5,0.34352078239398826,14.7648230602334
finetuned_epoch7,22_Heart_2_10.npz,1,both,0.2,0.4882441220585881,14.7648230602334
finetuned_epoch7,22_Heart_2_10.npz,1,both,0.3,0.4535659312444661,14.7648230602334
finetuned_epoch7,22_Heart_2_10.npz,1,both,0.5,0.3782327586186518,14.7648230602334
finetuned_epoch7,22_Heart_2_10.npz,2,point,0.2,0.11830396091411917,53.41348144429457
finetuned_epoch7,22_Heart_2_10.npz,2,point,0.3,0.1431587837834815,50.32891812864648
finetuned_epoch7,22_Heart_2_10.npz,2,point,0.5,0.23558026407145385,30.14962686336267
finetuned_epoch7,22_Heart_2_10.npz,2,box,0.2,0.8089887640348441,4.47213595499958
finetuned_epoch7,22_Heart_2_10.npz,2,box,0.3,0.8132992327261727,4.47213595499958
finetuned_epoch7,22_Heart_2_10.npz,2,box,0.5,0.8222811670978477,4.123105625617661
finetuned_epoch7,22_Heart_2_10.npz,2,both,0.2,0.7701283547168013,6.324555320336759
finetuned_epoch7,22_Heart_2_10.npz,2,both,0.3,0.7804295942627634,6.324555320336759
finetuned_epoch7,22_Heart_2_10.npz,2,both,0.5,0.813048933490426,4.47213595499958
finetuned_epoch7,22_Heart_2_4.npz,0,point,0.2,0.8165445665433203,13.038404810405298
finetuned_epoch7,22_Heart_2_4.npz,0,point,0.3,0.7666613647196331,13.45362404707371
finetuned_epoch7,22_Heart_2_4.npz,0,point,0.5,0.7102461743168492,14.317821063276353
finetuned_epoch7,22_Heart_2_4.npz,0,box,0.2,0.4286524286516185,25.632011235952593
finetuned_epoch7,22_Heart_2_4.npz,0,box,0.3,0.2784222737813153,48.27007354458868
finetuned_epoch7,22_Heart_2_4.npz,0,box,0.5,0.16728452270582186,66.61080993352356
finetuned_epoch7,22_Heart_2_4.npz,0,both,0.2,0.910115303982036,10.63014581273465
finetuned_epoch7,22_Heart_2_4.npz,0,both,0.3,0.8831097727882794,12.806248474865697
finetuned_epoch7,22_Heart_2_4.npz,0,both,0.5,0.8682814963438895,13.45362404707371
finetuned_epoch7,22_Heart_2_4.npz,1,point,0.2,0.0,31.016124838541646
finetuned_epoch7,22_Heart_2_4.npz,1,point,0.3,0.0,31.016124838541646
finetuned_epoch7,22_Heart_2_4.npz,1,point,0.5,0.0,31.016124838541646
finetuned_epoch7,22_Heart_2_4.npz,1,box,0.2,0.7307434695232238,40.52159917870962
finetuned_epoch7,22_Heart_2_4.npz,1,box,0.3,0.7091451641202227,46.17358552246078
finetuned_epoch7,22_Heart_2_4.npz,1,box,0.5,0.6690458302015984,48.76474136094644
finetuned_epoch7,22_Heart_2_4.npz,1,both,0.2,0.6625194401234801,24.186773244895647
finetuned_epoch7,22_Heart_2_4.npz,1,both,0.3,0.6261666939567281,42.01190307520001
finetuned_epoch7,22_Heart_2_4.npz,1,both,0.5,0.502466942963287,52.88667128870941
