version,file,class,mode,threshold,dice,hd95
original,22_Heart_2_10.npz,0,point,0.2,0.49999999999553574,15.556349186104045
original,22_Heart_2_10.npz,0,point,0.3,0.44875346259973453,15.811388300841896
original,22_Heart_2_10.npz,0,point,0.5,0.28542094455559114,16.401219466856727
original,22_Heart_2_10.npz,0,box,0.2,0.8364368394522576,5.830951894845301
original,22_Heart_2_10.npz,0,box,0.3,0.85581874355893,5.385164807134504
original,22_Heart_2_10.npz,0,box,0.5,0.8856837606790295,5.0
original,22_Heart_2_10.npz,0,both,0.2,0.8765822784763894,5.0
original,22_Heart_2_10.npz,0,both,0.3,0.8983783783735223,4.242640687119285
original,22_Heart_2_10.npz,0,both,0.5,0.9271300448378524,3.605551275463989
original,22_Heart_2_10.npz,1,point,0.2,0.0,19.0
original,22_Heart_2_10.npz,1,point,0.3,0.0,19.026297590440446
original,22_Heart_2_10.npz,1,point,0.5,0.0,20.0
original,22_Heart_2_10.npz,1,box,0.2,0.5372658429631835,14.7648230602334
original,22_Heart_2_10.npz,1,box,0.3,0.5535934291558374,14.7648230602334
original,22_Heart_2_10.npz,1,box,0.5,0.5632582322332614,14.7648230602334
original,22_Heart_2_10.npz,1,both,0.2,0.5689729265123808,14.7648230602334
original,22_Heart_2_10.npz,1,both,0.3,0.5759717314462193,14.7648230602334
original,22_Heart_2_10.npz,1,both,0.5,0.558139534881125,14.7648230602334
original,22_Heart_2_10.npz,2,point,0.2,0.3751617076277469,16.1245154965971
original,22_Heart_2_10.npz,2,point,0.3,0.3786127167575345,15.652475842498529
original,22_Heart_2_10.npz,2,point,0.5,0.44635193132089374,16.401219466856727
original,22_Heart_2_10.npz,2,box,0.2,0.6500479386323103,7.615773105863909
original,22_Heart_2_10.npz,2,box,0.3,0.6808080808012039,7.0710678118654755
original,22_Heart_2_10.npz,2,box,0.5,0.7311111111029877,6.4031242374328485
original,22_Heart_2_10.npz,2,both,0.2,0.6260387811576543,8.602325267042627
original,22_Heart_2_10.npz,2,both,0.3,0.6544401544338375,8.06225774829855
original,22_Heart_2_10.npz,2,both,0.5,0.6874350986429134,7.0710678118654755
original,22_Heart_2_4.npz,0,point,0.2,0.12206345362043579,40.24922359499622
original,22_Heart_2_4.npz,0,point,0.3,0.10878048780461273,40.70626487409524
original,22_Heart_2_4.npz,0,point,0.5,0.08920650566759683,41.14608122288197
original,22_Heart_2_4.npz,0,box,0.2,0.8585083916851634,16.278820596099706
original,22_Heart_2_4.npz,0,box,0.3,0.8691317955246677,15.556349186104045
original,22_Heart_2_4.npz,0,box,0.5,0.7709281478406138,13.038404810405298
original,22_Heart_2_4.npz,0,both,0.2,0.9374082476966002,8.48528137423857
original,22_Heart_2_4.npz,0,both,0.3,0.9199449793659973,9.848857801796104
original,22_Heart_2_4.npz,0,both,0.5,0.8788797459204867,10.770329614269007
original,22_Heart_2_4.npz,1,point,0.2,0.0,52.88667128870941
original,22_Heart_2_4.npz,1,point,0.3,0.0,53.150729063673246
original,22_Heart_2_4.npz,1,point,0.5,0.0,53.46026561849464
original,22_Heart_2_4.npz,1,box,0.2,0.6777280130286261,14.866068747318506
original,22_Heart_2_4.npz,1,box,0.3,0.7102643690455845,14.422205101855956
original,22_Heart_2_4.npz,1,box,0.5,0.7541136655376891,13.416407864998739
original,22_Heart_2_4.npz,1,both,0.2,0.5660664468671494,15.556349186104045
original,22_Heart_2_4.npz,1,both,0.3,0.5082765335922823,15.0
original,22_Heart_2_4.npz,1,both,0.5,0.3622655388003636,39.6232255123179
original,22_Heart_2_4.npz,2,point,0.2,0.3169731445954267,66.0
original,22_Heart_2_4.npz,2,point,0.3,0.2791830109559324,66.12110101926616
original,22_Heart_2_4.npz,2,point,0.5,0.20816901408421384,67.0
original,22_Heart_2_4.npz,2,box,0.2,0.9446332804585356,8.0
original,22_Heart_2_4.npz,2,box,0.3,0.954541922448555,5.830951894845301
original,22_Heart_2_4.npz,2,box,0.5,0.9501650430714513,5.385164807134504
original,22_Heart_2_4.npz,2,both,0.2,0.9354384404410826,11.40175425099138
original,22_Heart_2_4.npz,2,both,0.3,0.9569776407085914,7.0
original,22_Heart_2_4.npz,2,both,0.5,0.9543661971823304,5.0
original,22_Heart_2_8.npz,0,point,0.2,0.14424728105282128,32.55764119219941
original,22_Heart_2_8.npz,0,point,0.3,0.09518213866011992,33.301651610693426
original,22_Heart_2_8.npz,0,point,0.5,0.0827912477821325,33.301651610693426
original,22_Heart_2_8.npz,0,box,0.2,0.8688062306957582,15.556349186104045
original,22_Heart_2_8.npz,0,box,0.3,0.8922437673117836,14.142135623730951
original,22_Heart_2_8.npz,0,box,0.5,0.928748360773818,8.48528137423857
original,22_Heart_2_8.npz,0,both,0.2,0.9622935493908347,4.242640687119285
original,22_Heart_2_8.npz,0,both,0.3,0.9471999999984845,4.123105625617661
original,22_Heart_2_8.npz,0,both,0.5,0.8914926133454042,9.219544457292887
