organ,file,class,dx,dy,mode,dice,hd
Pancreas,6_Pancreas_12_41_1.npz,2,10,10,point,0.005819893244561451,442.7572698443245
Pancreas,6_Pancreas_12_41_1.npz,2,10,10,box,0.006059624417618066,441.5178365592946
Pancreas,6_Pancreas_12_41_1.npz,2,10,10,both,0.005806882345938763,442.7572698443245
Pancreas,6_Pancreas_12_41_1.npz,2,-10,-10,point,0.0058888233084719984,440.9002154683075
Pancreas,6_Pancreas_12_41_1.npz,2,-10,-10,box,0.00579938686267665,440.732345080322
Pancreas,6_Pancreas_12_41_1.npz,2,-10,-10,both,0.005933028225889646,441.5178365592946
Pancreas,6_Pancreas_13_37_0.npz,2,0,0,point,0.007072256866476115,386.079007458318
Pancreas,6_Pancreas_13_37_0.npz,2,0,0,box,0.0068430698119503796,386.079007458318
Pancreas,6_Pancreas_13_37_0.npz,2,0,0,both,0.006800498541885166,382.7819222481647
Pancreas,6_Pancreas_13_37_0.npz,2,5,0,point,0.006702525528427249,385.41665765765754
Pancreas,6_Pancreas_13_37_0.npz,2,5,0,box,0.0069875419482365655,383.43839140075687
Pancreas,6_Pancreas_13_37_0.npz,2,5,0,both,0.006820391721071897,386.079007458318
Pancreas,6_Pancreas_13_37_0.npz,2,-5,0,point,0.006863659086916236,386.079007458318
Pancreas,6_Pancreas_13_37_0.npz,2,-5,0,box,0.0069552734900687856,386.079007458318
Pancreas,6_Pancreas_13_37_0.npz,2,-5,0,both,0.006927180557889867,386.079007458318
Pancreas,6_Pancreas_13_37_0.npz,2,0,5,point,0.006858978035212086,383.9192623456135
Pancreas,6_Pancreas_13_37_0.npz,2,0,5,box,0.006911971296851563,386.079007458318
Pancreas,6_Pancreas_13_37_0.npz,2,0,5,both,0.006953122496714577,381.6084380618437
Pancreas,6_Pancreas_13_37_0.npz,2,0,-5,point,0.007296462497813708,384.5841910427416
Pancreas,6_Pancreas_13_37_0.npz,2,0,-5,box,0.006956683053519759,386.079007458318
Pancreas,6_Pancreas_13_37_0.npz,2,0,-5,both,0.007044994550832601,384.5841910427416
