organ,file,class,dx,dy,mode,dice,hd
Heart,22_Heart_2_10.npz,0,0,0,point,0.00732093562595667,342.0526275297414
Heart,22_Heart_2_10.npz,0,0,0,box,0.006606444654171733,340.47613719613304
Heart,22_Heart_2_10.npz,0,0,0,both,0.007409271375048411,340.47613719613304
Heart,22_Heart_2_10.npz,0,5,0,point,0.007191927866035961,340.2190470858444
Heart,22_Heart_2_10.npz,0,5,0,box,0.00637744398757943,342.0526275297414
Heart,22_Heart_2_10.npz,0,5,0,both,0.008172477282175189,342.0526275297414
Heart,22_Heart_2_10.npz,0,-5,0,point,0.0077899764116596435,340.82840257232084
Heart,22_Heart_2_10.npz,0,-5,0,box,0.007443271511847727,342.0526275297414
Heart,22_Heart_2_10.npz,0,-5,0,both,0.007174294102643028,342.0526275297414
Heart,22_Heart_2_10.npz,0,0,5,point,0.007115135834410708,340.82840257232084
Heart,22_Heart_2_10.npz,0,0,5,box,0.007190282103407154,342.0526275297414
Heart,22_Heart_2_10.npz,0,0,5,both,0.007496785137759584,342.0526275297414
Heart,22_Heart_2_10.npz,0,0,-5,point,0.006433330780423678,340.47613719613304
Heart,22_Heart_2_10.npz,0,0,-5,box,0.007661388221962379,339.68956416116174
Heart,22_Heart_2_10.npz,0,0,-5,both,0.007559876533020191,340.82840257232084
Heart,22_Heart_2_10.npz,0,10,10,point,0.007525655644240507,339.00589965367857
Heart,22_Heart_2_10.npz,0,10,10,box,0.0068278105613550815,342.0526275297414
Heart,22_Heart_2_10.npz,0,10,10,both,0.007198596945790091,340.82840257232084
Heart,22_Heart_2_10.npz,0,-10,-10,point,0.007422562687347749,342.0526275297414
Heart,22_Heart_2_10.npz,0,-10,-10,box,0.007280617164897869,342.0526275297414
Heart,22_Heart_2_10.npz,0,-10,-10,both,0.007365687497891648,342.0526275297414
Heart,22_Heart_2_10.npz,1,0,0,point,0.005432709534982554,334.36806067565726
Heart,22_Heart_2_10.npz,1,0,0,box,0.005479558275231137,337.17947743004765
Heart,22_Heart_2_10.npz,1,0,0,both,0.005314313684356994,336.40005945302687
Heart,22_Heart_2_10.npz,1,5,0,point,0.006409809795861045,335.9315406448165
Heart,22_Heart_2_10.npz,1,5,0,box,0.006694560669455085,334.8611652610676
Heart,22_Heart_2_10.npz,1,5,0,both,0.005870047147718654,337.17947743004765
Heart,22_Heart_2_10.npz,1,-5,0,point,0.006538571838255131,334.8611652610676
Heart,22_Heart_2_10.npz,1,-5,0,box,0.006007666687613523,335.9315406448165
Heart,22_Heart_2_10.npz,1,-5,0,both,0.006403546579643618,337.17947743004765
Heart,22_Heart_2_10.npz,1,0,5,point,0.005782142259813766,337.17947743004765
Heart,22_Heart_2_10.npz,1,0,5,box,0.005800753757435079,337.17947743004765
Heart,22_Heart_2_10.npz,1,0,5,both,0.005767198610140611,337.17947743004765
Heart,22_Heart_2_10.npz,1,0,-5,point,0.005413558691653882,335.9315406448165
Heart,22_Heart_2_10.npz,1,0,-5,box,0.005932822639573478,337.17947743004765
Heart,22_Heart_2_10.npz,1,0,-5,both,0.006174801362087835,336.55460181076114
Heart,22_Heart_2_10.npz,1,10,10,point,0.005959229750558693,337.17947743004765
Heart,22_Heart_2_10.npz,1,10,10,box,0.006082272748939126,337.17947743004765
Heart,22_Heart_2_10.npz,1,10,10,both,0.005764749172082128,336.55460181076114
Heart,22_Heart_2_10.npz,1,-10,-10,point,0.006059836923759791,336.40005945302687
Heart,22_Heart_2_10.npz,1,-10,-10,box,0.005812678218906062,332.8092546790128
Heart,22_Heart_2_10.npz,1,-10,-10,both,0.005618975139522728,335.9315406448165
Heart,22_Heart_2_10.npz,2,0,0,point,0.0030461352159445797,378.88916585196785
Heart,22_Heart_2_10.npz,2,0,0,box,0.0029449765773306856,378.88916585196785
Heart,22_Heart_2_10.npz,2,0,0,both,0.0030337950659672258,377.00397875884545
Heart,22_Heart_2_10.npz,2,5,0,point,0.0027209779275889456,376.56606326114945
Heart,22_Heart_2_10.npz,2,5,0,box,0.0031567649472817407,377.63077205121937
Heart,22_Heart_2_10.npz,2,5,0,both,0.0031186589766397333,375.598189559002
Heart,22_Heart_2_10.npz,2,-5,0,point,0.003056732286734525,378.88916585196785
Heart,22_Heart_2_10.npz,2,-5,0,box,0.0028130671506339322,375.7938264527506
Heart,22_Heart_2_10.npz,2,-5,0,both,0.003075712599692062,378.88916585196785
Heart,22_Heart_2_10.npz,2,0,5,point,0.0031737635546148814,377.00397875884545
Heart,22_Heart_2_10.npz,2,0,5,box,0.0032381513099785995,375.7938264527506
Heart,22_Heart_2_10.npz,2,0,5,both,0.0029447804261035077,378.2591704109763
Heart,22_Heart_2_10.npz,2,0,-5,point,0.003149363828506421,378.88916585196785
Heart,22_Heart_2_10.npz,2,0,-5,box,0.0028535980148881404,378.88916585196785
Heart,22_Heart_2_10.npz,2,0,-5,both,0.0026653128569606977,377.63077205121937
Heart,22_Heart_2_10.npz,2,10,10,point,0.0030053842388642676,378.88916585196785
Heart,22_Heart_2_10.npz,2,10,10,box,0.0029866806112134776,378.88916585196785
Heart,22_Heart_2_10.npz,2,10,10,both,0.0030091382778221743,378.88916585196785
Heart,22_Heart_2_10.npz,2,-10,-10,point,0.0030244617344913245,378.88916585196785
Heart,22_Heart_2_10.npz,2,-10,-10,box,0.0030239953351818786,377.3393697985939
Heart,22_Heart_2_10.npz,2,-10,-10,both,0.0031145184475320766,377.3393697985939
Heart,22_Heart_2_4.npz,0,0,0,point,0.0335305994569333,322.60502165961395
