version,file,class,mode,threshold,dice,hd95
original,22_Heart_2_10.npz,0,point,0.2,0.49999999999553574,15.556349186104045
original,22_Heart_2_10.npz,0,box,0.2,0.8364368394522576,5.830951894845301
original,22_Heart_2_10.npz,0,both,0.2,0.8765822784763894,5.0
original,22_Heart_2_10.npz,1,point,0.2,0.0,19.0
original,22_Heart_2_10.npz,1,box,0.2,0.5372658429631835,14.7648230602334
original,22_Heart_2_10.npz,1,both,0.2,0.5689729265123808,14.7648230602334
original,22_Heart_2_10.npz,2,point,0.2,0.3751617076277469,16.1245154965971
original,22_Heart_2_10.npz,2,box,0.2,0.6500479386323103,7.615773105863909
original,22_Heart_2_10.npz,2,both,0.2,0.6260387811576543,8.602325267042627
original,22_Heart_2_4.npz,0,point,0.2,0.12206345362043579,40.24922359499622
original,22_Heart_2_4.npz,0,box,0.2,0.8585083916851634,16.278820596099706
original,22_Heart_2_4.npz,0,both,0.2,0.9374082476966002,8.48528137423857
original,22_Heart_2_4.npz,1,point,0.2,0.0,52.88667128870941
original,22_Heart_2_4.npz,1,box,0.2,0.6777280130286261,14.866068747318506
original,22_Heart_2_4.npz,1,both,0.2,0.5660664468671494,15.556349186104045
original,22_Heart_2_4.npz,2,point,0.2,0.3169731445954267,66.0
original,22_Heart_2_4.npz,2,box,0.2,0.9446332804585356,8.0
original,22_Heart_2_4.npz,2,both,0.2,0.9354384404410826,11.40175425099138
original,22_Heart_2_8.npz,0,point,0.2,0.14424728105282128,32.55764119219941
original,22_Heart_2_8.npz,0,box,0.2,0.8688062306957582,15.556349186104045
original,22_Heart_2_8.npz,0,both,0.2,0.9622935493908347,4.242640687119285
original,22_Heart_2_8.npz,1,point,0.2,0.0,42.80186911806539
original,22_Heart_2_8.npz,1,box,0.2,0.48775626423620766,23.853720883753127
original,22_Heart_2_8.npz,1,both,0.2,0.3977428702144308,28.42534080710379
original,22_Heart_2_8.npz,2,point,0.2,0.44901664145098635,45.60701700396552
original,22_Heart_2_8.npz,2,box,0.2,0.6846625766859165,33.60059523282288
original,22_Heart_2_8.npz,2,both,0.2,0.6838145231834054,34.17601498127012
original,22_Heart_2_9.npz,0,point,0.2,0.20206362854599286,27.018512172212592
original,22_Heart_2_9.npz,0,box,0.2,0.8712248322129379,10.63014581273465
original,22_Heart_2_9.npz,0,both,0.2,0.9500117343324337,5.0
original,22_Heart_2_9.npz,1,point,0.2,0.013683010262179687,32.69556544854363
original,22_Heart_2_9.npz,1,box,0.2,0.5186020293113142,22.627416997969522
original,22_Heart_2_9.npz,1,both,0.2,0.4246395806019558,22.627416997969522
original,22_Heart_2_9.npz,2,point,0.2,0.4636559139765004,36.76955262170047
original,22_Heart_2_9.npz,2,box,0.2,0.6779388083717716,25.0
original,22_Heart_2_9.npz,2,both,0.2,0.6803124158344188,22.80350850198276
original,22_Heart_3_2.npz,0,point,0.2,0.24046920820409182,8.48528137423857
original,22_Heart_3_2.npz,0,box,0.2,0.8415147264959114,3.605551275463989
original,22_Heart_3_2.npz,0,both,0.2,0.8510638297751622,3.605551275463989
original,22_Heart_3_2.npz,1,point,0.2,0.0,12.529964086141668
original,22_Heart_3_2.npz,1,box,0.2,0.6403508771883015,8.94427190999916
original,22_Heart_3_2.npz,1,both,0.2,0.6712962962911166,8.94427190999916
original,22_Heart_3_2.npz,2,point,0.2,0.6382978722951561,4.0
original,22_Heart_3_2.npz,2,box,0.2,0.6403508771648969,4.47213595499958
original,22_Heart_3_2.npz,2,both,0.2,0.6521739130151228,4.47213595499958
original,22_Heart_4_2.npz,0,point,0.2,0.1789883268412845,7.280109889280518
original,22_Heart_4_2.npz,0,box,0.2,0.8283185840561359,4.242640687119285
original,22_Heart_4_2.npz,0,both,0.2,0.8618784530228015,2.8284271247461903
original,22_Heart_4_2.npz,1,point,0.2,0.0,11.180339887498949
original,22_Heart_4_2.npz,1,box,0.2,0.5667125171861525,8.48528137423857
original,22_Heart_4_2.npz,1,both,0.2,0.5812220566232307,8.48528137423857
original,22_Heart_4_5.npz,0,point,0.2,0.09486166007717664,11.0
original,22_Heart_4_5.npz,0,box,0.2,0.8633093525102221,5.0
original,22_Heart_4_5.npz,0,both,0.2,0.8831168831086911,5.0
original,22_Heart_4_5.npz,1,point,0.2,0.0,18.110770276274835
original,22_Heart_4_5.npz,1,box,0.2,0.6079919069266162,11.661903789690601
original,22_Heart_4_5.npz,1,both,0.2,0.5690329793148741,11.661903789690601
original,22_Heart_4_5.npz,2,point,0.2,0.23210831721021066,23.53720459187964
original,22_Heart_4_5.npz,2,box,0.2,0.6986624704901758,16.0
original,22_Heart_4_5.npz,2,both,0.2,0.7585601404674402,12.0
original,22_Heart_4_6.npz,0,point,0.2,0.08152173912932716,13.601470508735444
original,22_Heart_4_6.npz,0,box,0.2,0.8615009151869342,5.0
original,22_Heart_4_6.npz,0,both,0.2,0.9437288135529239,2.8284271247461903
original,22_Heart_4_6.npz,1,point,0.2,0.0,20.396078054371138
original,22_Heart_4_6.npz,1,box,0.2,0.6620689655145555,13.45362404707371
original,22_Heart_4_6.npz,1,both,0.2,0.671063478974975,13.45362404707371
original,22_Heart_4_6.npz,2,point,0.2,0.33174451858597004,27.0
original,22_Heart_4_6.npz,2,box,0.2,0.7745974955242639,16.278820596099706
original,22_Heart_4_6.npz,2,both,0.2,0.8190023752930214,9.848857801796104
original,22_Heart_4_7.npz,0,point,0.2,0.0388639760831261,14.0
original,22_Heart_4_7.npz,0,box,0.2,0.8603278688468176,6.4031242374328485
original,22_Heart_4_7.npz,0,both,0.2,0.9524517087596401,2.8284271247461903
original,22_Heart_4_7.npz,1,point,0.2,0.0,22.847319317591726
original,22_Heart_4_7.npz,1,box,0.2,0.7637301879809667,10.295630140987
