dx,dy,dice_mean,dice_std,hd_mean,hd_std
-10,-10,0.021960091355461685,0.013932836669148577,272.09218725278146,101.34741789430743
-5,0,0.022104624445929037,0.013889007557709346,272.4611367753881,101.15514333255125
0,-5,0.022308631734974157,0.014209550123280146,272.13097767464126,100.98847860076084
0,0,0.022528992520292966,0.014143329897385117,272.48535210873723,101.21876731919797
0,5,0.022247094314330435,0.01413303707925973,272.10104248389314,100.95402700431666
5,0,0.021804846453663217,0.013720451692930562,272.22968234112255,100.91263066710424
10,10,0.021608754072101336,0.013144488995937391,272.19394517412195,101.0232581017075
