version,file,class,mode,threshold,dice,hd95
original,22_Heart_2_10.npz,0,point,0.3,0.44875346259973453,15.811388300841896
original,22_Heart_2_10.npz,0,box,0.3,0.85581874355893,5.385164807134504
original,22_Heart_2_10.npz,0,both,0.3,0.8983783783735223,4.242640687119285
original,22_Heart_2_10.npz,1,point,0.3,0.0,19.026297590440446
original,22_Heart_2_10.npz,1,box,0.3,0.5535934291558374,14.7648230602334
original,22_Heart_2_10.npz,1,both,0.3,0.5759717314462193,14.7648230602334
original,22_Heart_2_10.npz,2,point,0.3,0.3786127167575345,15.652475842498529
original,22_Heart_2_10.npz,2,box,0.3,0.6808080808012039,7.0710678118654755
original,22_Heart_2_10.npz,2,both,0.3,0.6544401544338375,8.06225774829855
original,22_Heart_2_4.npz,0,point,0.3,0.10878048780461273,40.70626487409524
original,22_Heart_2_4.npz,0,box,0.3,0.8691317955246677,15.556349186104045
original,22_Heart_2_4.npz,0,both,0.3,0.9199449793659973,9.848857801796104
original,22_Heart_2_4.npz,1,point,0.3,0.0,53.150729063673246
original,22_Heart_2_4.npz,1,box,0.3,0.7102643690455845,14.422205101855956
original,22_Heart_2_4.npz,1,both,0.3,0.5082765335922823,15.0
original,22_Heart_2_4.npz,2,point,0.3,0.2791830109559324,66.12110101926616
original,22_Heart_2_4.npz,2,box,0.3,0.954541922448555,5.830951894845301
original,22_Heart_2_4.npz,2,both,0.3,0.9569776407085914,7.0
original,22_Heart_2_8.npz,0,point,0.3,0.09518213866011992,33.301651610693426
original,22_Heart_2_8.npz,0,box,0.3,0.8922437673117836,14.142135623730951
original,22_Heart_2_8.npz,0,both,0.3,0.9471999999984845,4.123105625617661
original,22_Heart_2_8.npz,1,point,0.3,0.0,43.08131845707603
original,22_Heart_2_8.npz,1,box,0.3,0.5155772755031833,21.213203435596427
original,22_Heart_2_8.npz,1,both,0.3,0.36767740911197383,28.42534080710379
original,22_Heart_2_8.npz,2,point,0.3,0.47348868625304463,46.57252408878007
original,22_Heart_2_8.npz,2,box,0.3,0.7124338141305232,30.870698080866262
original,22_Heart_2_8.npz,2,both,0.3,0.710147567861705,31.304951684997057
original,22_Heart_2_9.npz,0,point,0.3,0.18410768562664304,27.018512172212592
original,22_Heart_2_9.npz,0,box,0.3,0.8921821305822762,9.899494936611665
original,22_Heart_2_9.npz,0,both,0.3,0.9503135552316684,4.242640687119285
original,22_Heart_2_9.npz,1,point,0.3,0.0,33.12099032335839
original,22_Heart_2_9.npz,1,box,0.3,0.5247045146279312,22.627416997969522
original,22_Heart_2_9.npz,1,both,0.3,0.4034969737717922,22.627416997969522
original,22_Heart_2_9.npz,2,point,0.3,0.5381026438541312,37.69615364994153
original,22_Heart_2_9.npz,2,box,0.3,0.7084391758376843,16.97056274847714
original,22_Heart_2_9.npz,2,both,0.3,0.710317460315447,17.72004514666935
original,22_Heart_3_2.npz,0,point,0.3,0.21428571427933674,8.48528137423857
original,22_Heart_3_2.npz,0,box,0.3,0.8784773059900662,2.8284271247461903
original,22_Heart_3_2.npz,0,both,0.3,0.884955752199337,2.8284271247461903
original,22_Heart_3_2.npz,1,point,0.3,0.0,12.529964086141668
