dx,dy,dice_mean,dice_std,hd_mean,hd_std
-10,-10,0.0222001344149758,0.013862177103455971,271.9722463891975,101.17500549765194
-5,0,0.021691676571595146,0.01410473727309662,272.2317204737906,101.11831287074357
0,-5,0.021957063448820518,0.01402234394763703,271.7792581864481,101.19116116069745
0,0,0.022254864818868136,0.014351140039866565,272.2968790268204,101.09495243304228
0,5,0.022113346502402764,0.013886066391971015,272.1927931316703,101.14984247642127
5,0,0.02179420253601201,0.014070510728389411,272.0537335408402,101.08724876593568
10,10,0.02083744435747525,0.013331836292180573,271.60543175444457,101.80859084944917
