organ,file,class,dx,dy,mode,dice,hd
heart,22_Heart_4_7.npz,2,0,0,both,0.0,129.86531484580476
heart,22_Heart_4_9.npz,0,0,0,point,0.005450266319824786,78.49203781276162
heart,22_Heart_4_9.npz,0,0,0,box,0.0,128.81770064707723
heart,22_Heart_4_9.npz,0,0,0,both,0.0,128.14444974324874
heart,22_Heart_4_9.npz,1,0,0,point,0.04355761041483932,72.83543093852057
heart,22_Heart_4_9.npz,1,0,0,box,0.0,133.00375934536586
heart,22_Heart_4_9.npz,1,0,0,both,0.0,133.00375934536586
heart,22_Heart_4_9.npz,2,0,0,point,0.19189592085622456,67.88225099390856
heart,22_Heart_4_9.npz,2,0,0,box,0.0,128.2809416865966
heart,22_Heart_4_9.npz,2,0,0,both,0.0,128.2809416865966
heart,22_Heart_5_11.npz,0,0,0,point,0.06926621765328987,119.81652640600127
heart,22_Heart_5_11.npz,0,0,0,box,0.0,163.04907236779974
heart,22_Heart_5_11.npz,0,0,0,both,0.0,140.42791745233566
heart,22_Heart_5_11.npz,1,0,0,point,0.18144786679047328,114.33722053644648
heart,22_Heart_5_11.npz,1,0,0,box,0.0,167.28717822953436
heart,22_Heart_5_11.npz,1,0,0,both,0.0,151.3968295572929
heart,22_Heart_5_11.npz,2,0,0,point,0.025816518316243195,144.22205101855957
heart,22_Heart_5_11.npz,2,0,0,box,0.0,159.7779709471866
heart,22_Heart_5_11.npz,2,0,0,both,0.0,155.2063143045411
heart,22_Heart_5_2.npz,0,0,0,point,0.007790957237272336,169.44615663980107
heart,22_Heart_5_2.npz,0,0,0,box,0.0,156.1569723067145
heart,22_Heart_5_2.npz,0,0,0,both,0.0,139.2838827718412
heart,22_Heart_5_2.npz,1,0,0,point,0.03305711286322998,164.75436261295178
heart,22_Heart_5_2.npz,1,0,0,box,0.0,158.60012610335465
heart,22_Heart_5_2.npz,1,0,0,both,0.0,135.4843164355196
heart,22_Heart_5_5.npz,0,0,0,point,0.09962546816476736,148.33745312630927
heart,22_Heart_5_5.npz,0,0,0,box,0.0,152.2957648787385
heart,22_Heart_5_5.npz,0,0,0,both,0.0,134.65882815471105
heart,22_Heart_5_5.npz,1,0,0,point,0.08401105832458759,136.444127759314
heart,22_Heart_5_5.npz,1,0,0,box,0.0,156.01281998605114
heart,22_Heart_5_5.npz,1,0,0,both,0.0,142.52368224263643
heart,22_Heart_5_5.npz,2,0,0,point,0.057812910188706414,171.20747647226156
heart,22_Heart_5_5.npz,2,0,0,box,0.0,155.23530526268823
heart,22_Heart_5_5.npz,2,0,0,both,0.0,150.78461459976612
heart,22_Heart_5_9.npz,0,0,0,point,0.0067036765476042376,150.08331019803634
heart,22_Heart_5_9.npz,0,0,0,box,0.0,164.2954655491137
heart,22_Heart_5_9.npz,0,0,0,both,0.0,149.88328792764054
heart,22_Heart_5_9.npz,1,0,0,point,0.19571950582906011,137.09121051329294
heart,22_Heart_5_9.npz,1,0,0,box,0.0,168.04761230080004
heart,22_Heart_5_9.npz,1,0,0,both,0.0,164.02743672934722
heart,22_Heart_5_9.npz,2,0,0,point,0.04903752177790802,139.18692467326088
heart,22_Heart_5_9.npz,2,0,0,box,0.0,153.3101431738944
heart,22_Heart_5_9.npz,2,0,0,both,0.0,148.51935900750448
