file,class,dx,dy,mode,dice,hd
22_Heart_2_10.npz,0,0,0,point,0.007006542874595614,342.0526275297414
22_Heart_2_10.npz,0,0,0,box,0.006879674156725918,342.0526275297414
22_Heart_2_10.npz,0,0,0,both,0.006892647842300971,342.0526275297414
22_Heart_2_10.npz,0,5,0,point,0.007397224404293914,342.0526275297414
22_Heart_2_10.npz,0,5,0,box,0.007479798219396281,342.0526275297414
22_Heart_2_10.npz,0,5,0,both,0.0074317823728713844,342.0526275297414
22_Heart_2_10.npz,0,-5,0,point,0.007712567062265796,342.0526275297414
22_Heart_2_10.npz,0,-5,0,box,0.007230546157563574,342.0526275297414
22_Heart_2_10.npz,0,-5,0,both,0.007862977941768214,342.0526275297414
22_Heart_2_10.npz,0,0,5,point,0.0059803921568598135,339.6115427955887
22_Heart_2_10.npz,0,0,5,box,0.0057186803652056325,342.0526275297414
22_Heart_2_10.npz,0,0,5,both,0.0058964839484587535,342.0526275297414
22_Heart_2_10.npz,0,0,-5,point,0.004724858457902031,340.2190470858444
22_Heart_2_10.npz,0,0,-5,box,0.0061835386705362885,339.6115427955887
22_Heart_2_10.npz,0,0,-5,both,0.005422993492405135,339.6115427955887
22_Heart_2_10.npz,0,10,10,point,0.007397187406495612,341.4395993437199
22_Heart_2_10.npz,0,10,10,box,0.007216726989130575,341.4395993437199
22_Heart_2_10.npz,0,10,10,both,0.007106029130089687,342.0526275297414
22_Heart_2_10.npz,0,-10,-10,point,0.007210310452030475,341.4395993437199
22_Heart_2_10.npz,0,-10,-10,box,0.007253076722829485,341.2638275586793
22_Heart_2_10.npz,0,-10,-10,both,0.00716002659438397,342.0526275297414
22_Heart_2_10.npz,1,0,0,point,0.004847282527323997,335.62181097181394
22_Heart_2_10.npz,1,0,0,box,0.004993166287015035,335.62181097181394
22_Heart_2_10.npz,1,0,0,both,0.00513383373459759,334.8447401408599
22_Heart_2_10.npz,1,5,0,point,0.005965816051054375,337.17947743004765
22_Heart_2_10.npz,1,5,0,box,0.00596642337704848,337.17947743004765
22_Heart_2_10.npz,1,5,0,both,0.005966713881019566,337.17947743004765
22_Heart_2_10.npz,1,-5,0,point,0.0067472642997078655,337.17947743004765
22_Heart_2_10.npz,1,-5,0,box,0.006354723472978702,337.17947743004765
22_Heart_2_10.npz,1,-5,0,both,0.006292072850136074,337.17947743004765
22_Heart_2_10.npz,1,0,5,point,0.0063166739185879514,335.31030404686345
22_Heart_2_10.npz,1,0,5,box,0.0063245477408953935,337.17947743004765
22_Heart_2_10.npz,1,0,5,both,0.006127015327993337,335.31030404686345
22_Heart_2_10.npz,1,0,-5,point,0.005607163779395429,337.17947743004765
22_Heart_2_10.npz,1,0,-5,box,0.005833542871510863,337.17947743004765
22_Heart_2_10.npz,1,0,-5,both,0.0056641942009437,337.17947743004765
22_Heart_2_10.npz,1,10,10,point,0.006324608796106845,337.17947743004765
22_Heart_2_10.npz,1,10,10,box,0.006250776907640849,337.17947743004765
22_Heart_2_10.npz,1,10,10,both,0.006423677469778113,337.17947743004765
22_Heart_2_10.npz,1,-10,-10,point,0.006214048788679981,337.17947743004765
22_Heart_2_10.npz,1,-10,-10,box,0.006123698714022858,335.62181097181394
22_Heart_2_10.npz,1,-10,-10,both,0.00614625637111899,337.17947743004765
22_Heart_2_10.npz,2,0,0,point,0.002823263692827316,376.3787985527346
22_Heart_2_10.npz,2,0,0,box,0.002876438219108955,377.63077205121937
22_Heart_2_10.npz,2,0,0,both,0.0030534351145031784,377.63077205121937
22_Heart_2_10.npz,2,5,0,point,0.0030882799774852887,378.88916585196785
22_Heart_2_10.npz,2,5,0,box,0.0030592202464756356,378.88916585196785
22_Heart_2_10.npz,2,5,0,both,0.0030842008791617183,378.88916585196785
22_Heart_2_10.npz,2,-5,0,point,0.0026467874314017475,377.63077205121937
22_Heart_2_10.npz,2,-5,0,box,0.003220013623134061,377.63077205121937
22_Heart_2_10.npz,2,-5,0,both,0.002945481809418138,377.63077205121937
22_Heart_2_10.npz,2,0,5,point,0.0029159769809344064,377.63077205121937
22_Heart_2_10.npz,2,0,5,box,0.003120467286055657,377.63077205121937
22_Heart_2_10.npz,2,0,5,both,0.0030762620837806163,377.63077205121937
22_Heart_2_10.npz,2,0,-5,point,0.0031106911839518703,377.00397875884545
22_Heart_2_10.npz,2,0,-5,box,0.0027486721640107106,376.3787985527346
22_Heart_2_10.npz,2,0,-5,both,0.002718307700168339,376.3787985527346
22_Heart_2_10.npz,2,10,10,point,0.0029206071684016667,378.88916585196785
22_Heart_2_10.npz,2,10,10,box,0.002797439122842987,378.88916585196785
22_Heart_2_10.npz,2,10,10,both,0.002833337335221998,378.2591704109763
22_Heart_2_10.npz,2,-10,-10,point,0.003056434887020871,378.88916585196785
22_Heart_2_10.npz,2,-10,-10,box,0.0030384851770260796,377.3393697985939
22_Heart_2_10.npz,2,-10,-10,both,0.003027902698282717,377.3393697985939
22_Heart_2_4.npz,0,0,0,point,0.0307091358640257,322.2002482928901
22_Heart_2_4.npz,0,0,0,box,0.03284447758720417,324.4009864349984
22_Heart_2_4.npz,0,0,0,both,0.030760437504867275,323.00154798390673
22_Heart_2_4.npz,0,5,0,point,0.03167933388197399,325.0
22_Heart_2_4.npz,0,5,0,box,0.03245444832457084,322.60502165961395
22_Heart_2_4.npz,0,5,0,both,0.03233851462842863,323.20891076825217
22_Heart_2_4.npz,0,-5,0,point,0.03414536093837922,325.0
22_Heart_2_4.npz,0,-5,0,box,0.03353183984190133,325.0
22_Heart_2_4.npz,0,-5,0,both,0.03382740942533978,325.0
22_Heart_2_4.npz,0,0,5,point,0.03313790789256878,325.0
22_Heart_2_4.npz,0,0,5,box,0.033778387903665344,325.0
22_Heart_2_4.npz,0,0,5,both,0.03440874161019199,325.0
22_Heart_2_4.npz,0,0,-5,point,0.03457857363383555,325.0
22_Heart_2_4.npz,0,0,-5,box,0.03376820893039413,323.80395303331306
22_Heart_2_4.npz,0,0,-5,both,0.03335139806365376,323.80395303331306
22_Heart_2_4.npz,0,10,10,point,0.033531382339925295,325.0
22_Heart_2_4.npz,0,10,10,box,0.03357098053766279,325.0
22_Heart_2_4.npz,0,10,10,both,0.0336301174940006,325.0
22_Heart_2_4.npz,0,-10,-10,point,0.03425295216053261,324.4009864349984
22_Heart_2_4.npz,0,-10,-10,box,0.03461982632663387,323.40222633742025
22_Heart_2_4.npz,0,-10,-10,both,0.03478014074604209,323.20891076825217
22_Heart_2_4.npz,1,0,0,point,0.02955532957381762,313.2091952673165
22_Heart_2_4.npz,1,0,0,box,0.029505890819479255,312.60518229869444
22_Heart_2_4.npz,1,0,0,both,0.02979748744642707,312.60518229869444
22_Heart_2_4.npz,1,5,0,point,0.029037070397161083,311.60231064611827
22_Heart_2_4.npz,1,5,0,box,0.028559245126229864,313.2091952673165
22_Heart_2_4.npz,1,5,0,both,0.028434345217973347,313.2091952673165
22_Heart_2_4.npz,1,-5,0,point,0.02680580627611296,312.00160255998685
22_Heart_2_4.npz,1,-5,0,box,0.028091937249174862,311.60231064611827
22_Heart_2_4.npz,1,-5,0,both,0.02835528890047889,311.0064308016797
22_Heart_2_4.npz,1,0,5,point,0.027957736688445155,312.00160255998685
22_Heart_2_4.npz,1,0,5,box,0.02850179908324196,312.60518229869444
22_Heart_2_4.npz,1,0,5,both,0.02841285908757524,312.00160255998685
22_Heart_2_4.npz,1,0,-5,point,0.0274698146236325,313.2091952673165
22_Heart_2_4.npz,1,0,-5,box,0.02897823118322466,313.2091952673165
22_Heart_2_4.npz,1,0,-5,both,0.02908465186552765,313.2091952673165
22_Heart_2_4.npz,1,10,10,point,0.026102044408674002,312.60518229869444
22_Heart_2_4.npz,1,10,10,box,0.028588624736681188,313.2091952673165
22_Heart_2_4.npz,1,10,10,both,0.028866522516981984,312.60518229869444
22_Heart_2_4.npz,1,-10,-10,point,0.02910637292539967,312.00160255998685
22_Heart_2_4.npz,1,-10,-10,box,0.028857793056695294,312.00160255998685
22_Heart_2_4.npz,1,-10,-10,both,0.028642297916642478,312.00160255998685
22_Heart_2_4.npz,2,0,0,point,0.054349472561692744,367.0490430446591
22_Heart_2_4.npz,2,0,0,box,0.05450077935572964,367.0490430446591
22_Heart_2_4.npz,2,0,0,both,0.05447186598172369,367.0490430446591
22_Heart_2_4.npz,2,5,0,point,0.05634687119131982,367.0490430446591
22_Heart_2_4.npz,2,5,0,box,0.05483633588618163,366.17482163578643
22_Heart_2_4.npz,2,5,0,both,0.05535874256861026,367.0490430446591
22_Heart_2_4.npz,2,-5,0,point,0.04758250191863884,362.49137920783716
22_Heart_2_4.npz,2,-5,0,box,0.04626129531626053,362.58102542742085
22_Heart_2_4.npz,2,-5,0,both,0.04689916134547711,362.58102542742085
22_Heart_2_4.npz,2,0,5,point,0.051716728657580174,367.0490430446591
22_Heart_2_4.npz,2,0,5,box,0.052092552787953675,367.0490430446591
22_Heart_2_4.npz,2,0,5,both,0.052183442926982765,367.0490430446591
22_Heart_2_4.npz,2,0,-5,point,0.050067882202168415,364.6505176192679
22_Heart_2_4.npz,2,0,-5,box,0.029637661516206,364.33089355694227
22_Heart_2_4.npz,2,0,-5,both,0.04451230254271253,366.0833238485468
22_Heart_2_4.npz,2,10,10,point,0.056031406138466966,367.0490430446591
22_Heart_2_4.npz,2,10,10,box,0.054681925338482866,367.0490430446591
22_Heart_2_4.npz,2,10,10,both,0.05411984830346809,367.0490430446591
22_Heart_2_4.npz,2,-10,-10,point,0.05502659157733425,367.0490430446591
22_Heart_2_4.npz,2,-10,-10,box,0.05538274789469428,367.0490430446591
22_Heart_2_4.npz,2,-10,-10,both,0.055283045111036426,366.56513745854227
22_Heart_2_8.npz,0,0,0,point,0.02774121160183165,330.037876614185
22_Heart_2_8.npz,0,0,0,box,0.028928100541418412,330.037876614185
22_Heart_2_8.npz,0,0,0,both,0.02854595612972442,330.037876614185
22_Heart_2_8.npz,0,5,0,point,0.02907013446120367,327.6049450176233
22_Heart_2_8.npz,0,5,0,box,0.02788187992735302,326.8088126106761
22_Heart_2_8.npz,0,5,0,both,0.02813182705001015,326.8088126106761
22_Heart_2_8.npz,0,-5,0,point,0.028383142966577207,330.037876614185
22_Heart_2_8.npz,0,-5,0,box,0.028348111929184933,330.037876614185
22_Heart_2_8.npz,0,-5,0,both,0.028524192198223854,330.037876614185
