version,file,class,mode,threshold,dice,hd95
finetuned_epoch1,22_Heart_2_10.npz,0,point,0.2,0.08755663259925847,123.4908903522847
finetuned_epoch1,22_Heart_2_10.npz,0,point,0.3,0.11432108955832004,113.01769772916099
finetuned_epoch1,22_Heart_2_10.npz,0,point,0.5,0.21099403326112606,60.81118318204309
finetuned_epoch1,22_Heart_2_10.npz,0,box,0.2,0.9066666666614107,4.242640687119285
finetuned_epoch1,22_Heart_2_10.npz,0,box,0.3,0.910473961375597,4.123105625617661
finetuned_epoch1,22_Heart_2_10.npz,0,box,0.5,0.911044776113964,4.123105625617661
finetuned_epoch1,22_Heart_2_10.npz,0,both,0.2,0.9162393162340956,4.242640687119285
finetuned_epoch1,22_Heart_2_10.npz,0,both,0.3,0.9175792507151725,4.242640687119285
finetuned_epoch1,22_Heart_2_10.npz,0,both,0.5,0.9181286549653911,4.123105625617661
finetuned_epoch1,22_Heart_2_10.npz,1,point,0.2,0.07222460351474913,114.49017425089369
finetuned_epoch1,22_Heart_2_10.npz,1,point,0.3,0.09789397240370523,106.6770828247567
finetuned_epoch1,22_Heart_2_10.npz,1,point,0.5,0.18018981419572225,49.73932046178355
finetuned_epoch1,22_Heart_2_10.npz,1,box,0.2,0.5588507877638608,14.7648230602334
finetuned_epoch1,22_Heart_2_10.npz,1,box,0.3,0.5485391140407704,14.7648230602334
finetuned_epoch1,22_Heart_2_10.npz,1,box,0.5,0.5076092292562219,14.7648230602334
finetuned_epoch1,22_Heart_2_10.npz,1,both,0.2,0.5639614855544981,14.7648230602334
finetuned_epoch1,22_Heart_2_10.npz,1,both,0.3,0.5553488372067193,14.7648230602334
finetuned_epoch1,22_Heart_2_10.npz,1,both,0.5,0.5327552986486862,14.7648230602334
finetuned_epoch1,22_Heart_2_10.npz,2,point,0.2,0.027134109737052412,111.7899816620434
finetuned_epoch1,22_Heart_2_10.npz,2,point,0.3,0.05132086897278682,95.25754563287887
finetuned_epoch1,22_Heart_2_10.npz,2,point,0.5,0.07855404935687804,74.88658090739622
finetuned_epoch1,22_Heart_2_10.npz,2,box,0.2,0.7435610302268358,6.708203932499369
finetuned_epoch1,22_Heart_2_10.npz,2,box,0.3,0.7522727272641787,6.708203932499369
finetuned_epoch1,22_Heart_2_10.npz,2,box,0.5,0.7739644970322608,6.324555320336759
finetuned_epoch1,22_Heart_2_10.npz,2,both,0.2,0.7152034261165395,7.0710678118654755
finetuned_epoch1,22_Heart_2_10.npz,2,both,0.3,0.7247007616896115,7.0710678118654755
finetuned_epoch1,22_Heart_2_10.npz,2,both,0.5,0.7435610302268358,6.708203932499369
finetuned_epoch1,22_Heart_2_4.npz,0,point,0.2,0.8876750700267679,12.806248474865697
finetuned_epoch1,22_Heart_2_4.npz,0,point,0.3,0.8808705612816712,12.806248474865697
finetuned_epoch1,22_Heart_2_4.npz,0,point,0.5,0.8486197684760335,13.038404810405298
finetuned_epoch1,22_Heart_2_4.npz,0,box,0.2,0.9129574678524816,12.041594578792296
finetuned_epoch1,22_Heart_2_4.npz,0,box,0.3,0.8563743948347816,11.40175425099138
finetuned_epoch1,22_Heart_2_4.npz,0,box,0.5,0.6903020667715576,13.601470508735444
finetuned_epoch1,22_Heart_2_4.npz,0,both,0.2,0.8999280057584593,12.727922061357855
finetuned_epoch1,22_Heart_2_4.npz,0,both,0.3,0.9117828500914105,12.041594578792296
finetuned_epoch1,22_Heart_2_4.npz,0,both,0.5,0.9097463628158752,10.63014581273465
finetuned_epoch1,22_Heart_2_4.npz,1,point,0.2,0.02829327654391802,31.016124838541646
finetuned_epoch1,22_Heart_2_4.npz,1,point,0.3,0.009654313298022962,31.016124838541646
finetuned_epoch1,22_Heart_2_4.npz,1,point,0.5,0.0006467259498776932,31.016124838541646
finetuned_epoch1,22_Heart_2_4.npz,1,box,0.2,0.7477629360643915,13.416407864998739
finetuned_epoch1,22_Heart_2_4.npz,1,box,0.3,0.7627048615882623,17.204650534085253
finetuned_epoch1,22_Heart_2_4.npz,1,box,0.5,0.7782983225014685,18.788294228055936
finetuned_epoch1,22_Heart_2_4.npz,1,both,0.2,0.573927154705577,31.016124838541646
finetuned_epoch1,22_Heart_2_4.npz,1,both,0.3,0.5641956438664842,31.016124838541646
finetuned_epoch1,22_Heart_2_4.npz,1,both,0.5,0.563310285219789,31.016124838541646
